timestamp,metric_value,site,notes,extra_column_int,extra_column_flag
2024-04-28,57.196,A,manual,32,True
2025-02-03,82.99,A,ok,73,False
2024-12-28,82.219,A,manual,97,True
2024-12-02,80.067,C,sensor?,12,False
2024-12-25,75.52,B,ok,92,False
2024-12-04,84.989,A,sensor?,85,True
2024-11-30,80.484,C,ok,61,True
2024-02-22,42.872,B,ok,61,True
2024-08-28,-120.0,A,sensor?,60,False
2024-07-21,53.901,C,ok,99,True
2024-05-18,58.052,B,ok,6,True
2025-02-06,84.767,B,sensor?,32,False
2024-03-23,47.039,A,ok,68,False
2024-03-30,54.117,B,ok,3,False
2024-07-23,48.906,A,manual,13,False
2024-02-21,48.306,B,ok,40,False
2024-10-21,57.735,A,ok,67,False
2024-01-31,56.786,B,manual,33,False
2024-09-13,62.059,B,ok,27,False
2025-01-21,75.065,A,manual,58,False
2024-03-21,49.764,C,ok,50,True
2024-08-30,59.597,A,manual,48,True
2024-02-26,47.526,B,sensor?,98,True
2024-10-22,,A,manual,2,False
2024-07-06,61.832,B,ok,64,True
2025-01-23,76.771,A,sensor?,35,True
2024-02-01,51.711,A,sensor?,45,False
2024-11-26,79.53,B,sensor?,10,False
2024-07-31,62.636,C,ok,87,False
2024-04-15,54.498,A,manual,96,True
2024-10-20,51.602,A,ok,30,True
2024-04-30,53.169,A,ok,74,False
2024-06-17,54.101,A,sensor?,39,False
2025-02-08,81.834,A,ok,45,True
2024-12-19,,A,sensor?,46,True
2024-09-03,64.707,A,manual,41,True
2024-11-06,82.937,C,ok,32,True
2025-01-14,72.488,B,manual,21,False
2025-01-29,85.02,B,manual,63,False
2024-01-03,54.412,A,ok,76,False
2024-12-20,73.862,A,ok,94,False
2024-12-06,75.697,C,ok,75,False
2025-01-24,73.789,C,ok,66,True
2024-04-25,48.969,A,ok,93,True
2024-12-21,,A,ok,8,True
2025-01-08,82.349,C,ok,79,True
not_a_date,48.657,B,ok,13,False
2025-02-15,68.078,A,ok,35,True
2024-08-11,60.374,A,ok,94,False
2024-06-14,55.619,C,manual,4,True
2024-06-22,49.227,C,ok,32,False
2024-01-27,48.113,B,ok,16,True
2024-11-20,74.311,A,sensor?,88,True
2024-05-26,68.98,B,manual,77,False
2024-04-16,51.437,A,sensor?,38,False
2025-02-21,79.697,B,sensor?,7,False
2025-01-16,75.754,A,ok,98,False
2024-04-11,62.528,C,ok,17,True
2024-03-06,60.282,B,manual,47,True
2024-06-19,51.281,A,ok,73,True
2025-01-04,85.431,B,sensor?,95,False
2024-12-13,75.6,C,ok,44,False
2024-06-04,67.015,A,manual,2,False
2024-01-15,53.085,A,sensor?,25,False
2024-05-19,59.461,C,ok,51,True
2024-05-25,68.687,C,ok,85,True
2024-01-04,56.021,B,sensor?,10,False
2024-04-21,50.186,A,manual,68,False
2025-01-10,83.719,A,ok,47,True
2024-10-05,72.215,A,ok,89,False
2024-08-09,65.614,A,ok,47,True
2024-05-09,59.547,A,ok,56,False
2024-08-20,55.896,B,manual,82,False
2024-06-30,60.436,B,ok,30,False
2024-11-15,67.822,A,ok,92,True
2024-01-29,49.928,C,manual,0,True
2024-02-11,57.774,A,ok,11,True
2025-01-28,83.434,A,sensor?,80,False
2024-01-23,48.139,A,ok,81,False
2024-12-23,,A,ok,91,False
2024-02-02,52.687,A,manual,79,False
2024-04-24,49.916,C,ok,82,True
2024-09-18,56.086,A,sensor?,45,False
2024-02-27,52.931,A,ok,63,False
2024-03-03,55.807,C,ok,79,True
2024-09-30,71.791,C,ok,77,True
2024-05-12,61.415,C,ok,9,True
2024-03-25,45.314,B,ok,65,True
2024-06-13,61.172,B,ok,81,False
2025-02-14,70.669,C,ok,65,False
2024-12-17,73.164,A,ok,6,False
2025-02-16,72.003,A,sensor?,55,False
2025-01-31,86.509,B,sensor?,92,True
2024-07-26,53.307,A,ok,17,False
2024-05-21,48.55,A,sensor?,22,False
2024-09-20,55.198,A,sensor?,63,True
2024-07-13,57.74,A,ok,17,False
2024-08-01,62.483,B,ok,95,True
2024-04-19,46.426,B,manual,32,True
2024-04-06,56.982,A,manual,97,True
2024-10-07,69.762,C,ok,46,True
2024-04-08,61.644,A,ok,31,True
2024-11-10,78.306,A,ok,5,True
2024-09-06,64.663,B,ok,10,True
2024-07-19,55.194,C,ok,39,True
2024-01-14,55.879,B,manual,30,True
2025-02-12,70.966,B,ok,46,False
2025-02-10,77.838,C,sensor?,56,True
2024-05-28,,A,ok,3,False
2024-03-31,55.959,A,ok,51,False
2025-01-13,78.527,B,manual,32,True
2024-02-29,53.989,A,ok,93,True
2024-06-12,58.167,C,ok,45,True
2024-06-11,66.581,B,ok,53,True
2024-03-15,55.136,A,ok,17,False
2024-03-20,48.539,A,ok,24,True
2024-09-26,61.593,A,ok,0,True
2024-06-26,55.322,B,manual,53,True
2024-10-30,77.168,C,sensor?,52,False
2024-03-22,46.505,C,ok,29,True
2024-11-18,72.331,A,ok,20,False
2024-02-20,47.913,B,ok,42,False
2024-09-25,60.485,B,manual,0,True
2025-01-06,85.49,A,ok,80,False
2024-09-16,54.467,B,ok,16,True
2024-12-27,79.437,B,ok,80,False
2024-05-27,71.138,A,ok,9,True
2024-09-01,71.429,A,ok,26,True
2024-02-23,45.764,B,ok,87,False
2024-08-08,65.138,A,manual,22,False
2024-07-24,,B,ok,98,True
2025-02-18,73.343,C,ok,32,True
2024-03-07,57.985,B,sensor?,88,False
2024-12-16,72.431,B,ok,40,False
2025-01-19,68.62,B,ok,86,False
2024-08-31,61.458,A,manual,61,True
2024-04-09,58.168,A,ok,29,False
2024-01-16,48.568,A,manual,46,False
